source,benchmark,attack,f,aip_gated,aip_naive,aip_soft,aip_trust_only,confidence,ds_full,ds_onecoin,majority,oracle_channel,oracle_honest_majority,race,race_capself,race_full,race_ms,race_noclone,race_onecoin,race_rawclone,sac,self
live,mmlu,llm:rushing,0.3,0.43273809523809526,0.24047619047619048,0.4363095238095238,0.43273809523809526,0.4136904761904762,0.43333333333333335,0.4041666666666666,0.46249999999999997,0.4875,0.4880952380952381,0.544047619047619,0.5035714285714286,0.4529761904761905,0.544047619047619,0.40178571428571425,0.544047619047619,0.544047619047619,0.4464285714285714,0.4255952380952381
live,mmlu,llm:rushing,0.5,0.37083333333333335,0.28750000000000003,0.3841666666666667,0.38083333333333336,0.365,0.4291666666666667,0.4375,0.41250000000000003,0.5083333333333333,0.48583333333333334,0.5041666666666667,0.49333333333333335,0.41583333333333333,0.5041666666666667,0.4375,0.5041666666666667,0.5041666666666667,0.40166666666666667,0.43416666666666665
live,mmlu,llm:rushing,0.7,0.3277777777777778,0.2902777777777778,0.34722222222222227,0.25833333333333336,0.33194444444444443,0.36250000000000004,0.2416666666666667,0.3625,0.48333333333333334,0.4513888888888889,0.4791666666666667,0.4708333333333334,0.4222222222222222,0.4791666666666667,0.4486111111111111,0.4791666666666667,0.4791666666666667,0.27499999999999997,0.4375
live,mmlu,llm:solo,0.1,0.48888888888888893,0.26666666666666666,0.488425925925926,0.487962962962963,0.4291666666666667,0.4583333333333333,0.46666666666666673,0.4916666666666667,0.5458333333333333,0.5166666666666667,0.5435185185185185,0.5375,0.425,0.5435185185185185,0.4481481481481482,0.5435185185185185,0.5435185185185185,0.4337962962962963,0.4217592592592592
live,mmlu,llm:solo,0.3,0.4678571428571428,0.18571428571428572,0.4666666666666666,0.4678571428571428,0.4613095238095238,0.45,0.4041666666666666,0.5041666666666667,0.5875,0.4880952380952381,0.5886904761904762,0.5648809523809524,0.48928571428571427,0.5886904761904762,0.40178571428571425,0.5886904761904762,0.5886904761904762,0.45357142857142857,0.4255952380952381
live,mmlu,llm:solo,0.5,0.4466666666666667,0.19083333333333333,0.45,0.445,0.4891666666666667,0.45416666666666666,0.4708333333333334,0.4916666666666667,0.5375,0.48583333333333334,0.5683333333333334,0.5575,0.4808333333333334,0.5683333333333334,0.4658333333333333,0.5683333333333334,0.5683333333333334,0.5091666666666667,0.43416666666666665
live,mmlu,llm:solo,0.7,0.4583333333333333,0.1986111111111111,0.44999999999999996,0.39999999999999997,0.39166666666666666,0.2791666666666667,0.22916666666666666,0.4166666666666667,0.5166666666666667,0.4513888888888889,0.5236111111111111,0.5055555555555555,0.44999999999999996,0.5236111111111111,0.44166666666666665,0.5236111111111111,0.5236111111111111,0.3333333333333333,0.4375
live_debate,boolq,llm:collude,0.5,0.5416666666666666,0.5416666666666666,0.6583333333333333,0.5416666666666666,0.5966666666666667,0.6916666666666668,0.5416666666666666,0.7041666666666666,0.75,0.6583333333333333,0.7258333333333334,0.7258333333333334,0.7258333333333334,0.7258333333333334,0.6058333333333333,0.6033333333333334,0.7258333333333334,0.5616666666666666,0.6183333333333333
live_debate,boolq,llm:solo,0.5,0.7075,0.7075,0.6858333333333334,0.7075,0.7425,0.7458333333333332,0.6291666666666667,0.7583333333333333,0.775,0.6583333333333333,0.7374999999999999,0.7374999999999999,0.7374999999999999,0.7374999999999999,0.7025,0.5833333333333334,0.7458333333333335,0.7400000000000001,0.6183333333333333
live_debate,mmlu,llm:collude,0.5,0.4000000000000001,0.20666666666666667,0.39916666666666667,0.4375,0.4658333333333333,0.4375,0.4375,0.4708333333333334,0.4791666666666667,0.45083333333333336,0.5175,0.4891666666666667,0.42083333333333334,0.5175,0.43416666666666665,0.5175,0.5175,0.4483333333333333,0.41583333333333333
live_debate,mmlu,llm:solo,0.5,0.4283333333333333,0.17916666666666667,0.43,0.4283333333333333,0.4475,0.4583333333333333,0.44166666666666665,0.4375,0.44166666666666665,0.45083333333333336,0.47500000000000003,0.47500000000000003,0.4466666666666667,0.47500000000000003,0.44083333333333335,0.47500000000000003,0.47500000000000003,0.4775,0.41583333333333333
