benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
mmlu,llm:rushing,0.1,majority,race,0.5430555555555555,0.49583333333333335,0.04722222222222222,-0.0278125,0.12638888888888888,0.297005681379379,48,1.0,tie
mmlu,llm:rushing,0.1,aip_gated,race,0.5430555555555555,0.4847222222222222,0.05833333333333333,-0.02361111111111111,0.1476967592592592,0.11843829805576472,48,1.0,tie
mmlu,llm:rushing,0.1,ds_onecoin,race,0.5430555555555555,0.4666666666666666,0.07638888888888888,-0.027777777777777794,0.18055555555555555,0.18296802203912277,48,1.0,tie
mmlu,llm:rushing,0.3,self,race,0.544047619047619,0.42559523809523814,0.11845238095238096,0.03750000000000001,0.19702380952380952,0.012366161726022763,48,0.940027074428787,tie
mmlu,llm:rushing,0.3,majority,race,0.544047619047619,0.4625000000000001,0.08154761904761905,-0.0029761904761904704,0.16904761904761903,0.03389922947434495,48,1.0,tie
mmlu,llm:rushing,0.3,aip_gated,race,0.544047619047619,0.43273809523809526,0.11130952380952382,0.009523809523809525,0.20892857142857144,0.0107722392962355,48,0.840234665106369,tie
mmlu,llm:rushing,0.3,ds_onecoin,race,0.544047619047619,0.40416666666666673,0.13988095238095236,0.06069940476190476,0.2261904761904762,0.006886848612317836,48,0.5853821320470161,tie
mmlu,llm:rushing,0.5,self,race,0.5041666666666667,0.43416666666666676,0.06999999999999999,0.014145833333333321,0.12668749999999984,0.03041360650510026,48,1.0,tie
mmlu,llm:rushing,0.5,majority,race,0.5041666666666667,0.4124999999999999,0.09166666666666666,-0.014166666666666668,0.19835416666666655,0.0320078466267802,48,1.0,tie
mmlu,llm:rushing,0.5,aip_gated,race,0.5041666666666667,0.37083333333333335,0.13333333333333333,0.014145833333333333,0.24416666666666664,0.005821944379613063,48,0.5065091610263365,tie
mmlu,llm:rushing,0.5,ds_onecoin,race,0.5041666666666667,0.4375,0.06666666666666665,0.01499999999999998,0.12085416666666655,0.025061456709513697,48,1.0,tie
mmlu,llm:rushing,0.7,self,race,0.4791666666666667,0.4375,0.04166666666666668,-0.03333333333333333,0.11944444444444446,0.288790651860077,48,1.0,tie
mmlu,llm:rushing,0.7,majority,race,0.4791666666666667,0.3625,0.11666666666666665,-0.006944444444444457,0.24583333333333332,0.08838511302156245,48,1.0,tie
