benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,llm:rushing,0.7,self,race,0.69375,0.7333333333333333,-0.03958333333333336,-0.08333333333333336,0.004166666666666631,0.019373759245494036,32,1.0,tie
boolq,llm:rushing,0.7,majority,race,0.69375,0.66875,0.02499999999999994,-0.17083333333333336,0.22916666666666657,0.9253917917331335,32,1.0,tie
boolq,llm:rushing,0.7,aip_gated,race,0.69375,0.61875,0.07499999999999993,-0.12708333333333338,0.2958333333333333,0.5615826891778511,32,1.0,tie
boolq,llm:rushing,0.7,ds_onecoin,race,0.69375,0.53125,0.16249999999999992,-0.058385416666666745,0.393802083333333,0.11508423593448266,32,1.0,tie
boolq,llm:rushing,0.7,race_onecoin,race,0.69375,0.49166666666666664,0.20208333333333328,0.12916666666666665,0.28333333333333327,5.696269982494525e-05,32,0.007576039076717718,win
boolq,llm:solo,0.1,self,race,0.9229166666666667,0.7479166666666666,0.17500000000000004,0.09928819444444444,0.2514062499999999,0.00023665943328897418,32,0.030292407460988695,win
boolq,llm:solo,0.1,majority,race,0.9229166666666667,0.8625,0.06041666666666666,-0.029201388888888888,0.14932291666666656,0.06867329684296945,32,1.0,tie
boolq,llm:solo,0.1,aip_gated,race,0.9229166666666667,0.8583333333333333,0.06458333333333333,0.008333333333333338,0.12499999999999999,0.009137930079591836,32,0.8772412876408162,tie
boolq,llm:solo,0.1,ds_onecoin,race,0.9229166666666667,0.8500000000000001,0.07291666666666664,0.031249999999999983,0.11666666666666665,0.007604786191570909,32,0.7376642605823782,tie
boolq,llm:solo,0.1,race_onecoin,race,0.9229166666666667,0.8944444444444444,0.028472222222222215,0.004843749999999997,0.05624999999999998,0.13110882341524244,32,1.0,tie
boolq,llm:solo,0.3,self,race,0.8303571428571428,0.7455357142857143,0.08482142857142858,0.018750000000000024,0.14732142857142858,0.0056845336411325866,32,0.5570842968309935,tie
boolq,llm:solo,0.3,majority,race,0.8303571428571428,0.84375,-0.013392857142857135,-0.08752232142857143,0.058035714285714295,0.3995004054045487,32,1.0,tie
boolq,llm:solo,0.3,aip_gated,race,0.8303571428571428,0.8642857142857142,-0.03392857142857142,-0.11609374999999998,0.04910714285714286,0.15327622798167786,32,1.0,tie
boolq,llm:solo,0.3,ds_onecoin,race,0.8303571428571428,0.7625,0.06785714285714287,0.017857142857142856,0.1134151785714285,0.005115970725299262,32,0.5064811018046269,tie
