benchmark,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict,study,attack,param
gsm8k,0.5,aip_soft,race,0.976,0.9786,-0.002599999999999999,-0.008599999999999998,0.0020000000000000013,0.6514707381751382,200,1.0,tie,main,,
gsm8k,0.6,self,race,0.976,0.9254999999999999,0.050499999999999996,0.03799375,0.0635,1.0800678906349332e-13,200,2.3329466437714558e-11,win,main,,
gsm8k,0.6,majority,race,0.976,0.0,0.976,0.9540000000000001,0.993,9.130433680304544e-44,200,2.7208692367307543e-41,win,main,,
gsm8k,0.6,ds_onecoin,race,0.976,0.0,0.976,0.9540000000000001,0.993,9.130433680304544e-44,200,2.7208692367307543e-41,win,main,,
gsm8k,0.6,aip_gated,race,0.976,0.9765,-0.0004999999999999999,-0.006000000000000001,0.004,0.5676316595237282,200,1.0,tie,main,,
gsm8k,0.6,aip_soft,race,0.976,0.9765,-0.0004999999999999999,-0.00575,0.0037500000000000007,0.5676316595237282,200,1.0,tie,main,,
gsm8k,0.7,self,race,0.977,0.9296666666666666,0.047333333333333345,0.03633333333333335,0.05966666666666669,1.9656885504152646e-14,200,4.363828581921888e-12,win,main,,
gsm8k,0.7,majority,race,0.977,0.0,0.977,0.9570000000000001,0.9940000000000001,8.791863706375606e-44,200,2.637559111912682e-41,win,main,,
gsm8k,0.7,ds_onecoin,race,0.977,0.0,0.977,0.958,0.9940000000000001,8.791863706375606e-44,200,2.637559111912682e-41,win,main,,
gsm8k,0.7,aip_gated,race,0.977,0.9763333333333333,0.0006666666666666676,0.0,0.0016666666666666692,0.15729920705028516,200,1.0,tie,main,,
gsm8k,0.7,aip_soft,race,0.977,0.9763333333333333,0.0006666666666666676,0.0,0.0016666666666666692,0.15729920705028516,200,1.0,tie,main,,
gsm8k,0.8,self,race,0.9740000000000001,0.9355000000000001,0.03849999999999999,0.0295,0.04849999999999999,3.111194227769216e-14,200,6.875739243369968e-12,win,main,,
gsm8k,0.8,majority,race,0.9740000000000001,0.0,0.9740000000000001,0.9530000000000001,0.991,1.3399539913640091e-43,200,3.952864274523827e-41,win,main,,
gsm8k,0.8,ds_onecoin,race,0.9740000000000001,0.0,0.9740000000000001,0.9520000000000001,0.992,1.3399539913640091e-43,200,3.952864274523827e-41,win,main,,
gsm8k,0.8,aip_gated,race,0.9740000000000001,0.7809999999999999,0.19299999999999998,0.18699999999999994,0.19799999999999998,1.6451770587373036e-43,200,4.8203687821003e-41,win,main,,
gsm8k,0.8,aip_soft,race,0.9740000000000001,0.7809999999999999,0.19299999999999998,0.18699999999999994,0.19699999999999995,1.6451770587373036e-43,200,4.8203687821003e-41,win,main,,
gsm8k,0.9,self,race,0.9560000000000001,0.9560000000000001,0.0,0.0,0.0,1.0,200,1.0,tie,main,,
gsm8k,0.9,majority,race,0.9560000000000001,0.0,0.9560000000000001,0.932,0.976,3.199472552990951e-41,200,9.310465129203667e-39,win,main,,
gsm8k,0.9,ds_onecoin,race,0.9560000000000001,0.0,0.9560000000000001,0.932975,0.9760249999999999,3.199472552990951e-41,200,9.310465129203667e-39,win,main,,
gsm8k,0.9,aip_gated,race,0.9560000000000001,0.0,0.9560000000000001,0.9330000000000002,0.976,3.199472552990951e-41,200,9.310465129203667e-39,win,main,,
