benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
boolq,0.7,independent,1.0,race,race_d,0.9458333333333332,0.9291666666666668,0.01666666666666667,0.001388888888888888,0.0375,0.04551997832170068,80,1.0,tie
boolq,0.7,llm:always_wrong,1.0,race,race_d,0.9083333333333332,0.9083333333333332,6.938893903907229e-19,-0.0125,0.0125,0.9929035095959442,80,1.0,tie
boolq,0.7,llm:rushing,1.0,race,race_d,0.9208333333333332,0.9194444444444443,0.0013888888888888896,0.0,0.004166666666666668,0.31731050786291415,80,1.0,tie
boolq,0.7,llm:semantic_hallucination,1.0,race,race_d,0.9111111111111111,0.9097222222222221,0.0013888888888888896,0.0,0.004166666666666668,0.31731050786291415,80,1.0,tie
boolq,0.7,llm:semantic_negation,1.0,race,race_d,0.9111111111111111,0.9069444444444443,0.0041666666666666675,-0.01111111111111111,0.02222222222222222,0.9847561172018832,80,1.0,tie
boolq,0.7,partial,0.5,race,race_d,0.9013888888888889,0.9013888888888889,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.7,partial,0.8,race,race_d,0.9652777777777777,0.9652777777777777,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.7,sleeper,1.0,race,race_d,0.5263888888888889,0.0,0.5263888888888889,0.49861111111111106,0.5527777777777778,1.5757446882770507e-15,80,5.010868108721021e-13,win
boolq,0.7,uninformative,1.0,race,race_d,0.9069444444444444,0.9069444444444444,0.0,0.0,0.0,1.0,80,1.0,tie
gsm8k,0.3,attractor,1.0,race,race_d,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,camouflage,0.7,race,race_d,0.940952380952381,0.9707142857142859,-0.029761904761904764,-0.03738095238095238,-0.02238095238095238,2.848494226727555e-12,200,8.716392333786319e-10,loss
gsm8k,0.3,camouflage,0.9,race,race_d,0.9466666666666668,0.9697619047619048,-0.0230952380952381,-0.03190476190476191,-0.014047619047619048,3.918641438503758e-09,200,1.1520805829201048e-06,loss
gsm8k,0.3,echo,1.0,race,race_d,0.9435714285714286,0.9742857142857143,-0.030714285714285715,-0.038339285714285715,-0.023571428571428577,7.870617035597053e-13,200,2.4398912810350864e-10,loss
gsm8k,0.3,gate_aware,0.0,race,race_d,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,gate_aware,0.25,race,race_d,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,gate_aware,0.5,race,race_d,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,gate_aware,0.75,race,race_d,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,gate_aware,1.0,race,race_d,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,independent,1.0,race,race_d,0.98,0.98,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,llm:always_wrong,1.0,race,race_d,0.975,0.975,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,llm:rushing,1.0,race,race_d,0.9783333333333334,0.9783333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,llm:semantic_hallucination,1.0,race,race_d,0.975,0.975,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,llm:semantic_negation,1.0,race,race_d,0.975,0.975,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,partial,0.5,race,race_d,0.975,0.975,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,partial,0.8,race,race_d,0.9766666666666667,0.9766666666666667,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.3,sleeper,1.0,race,race_d,0.8678571428571431,0.9621428571428572,-0.09428571428571429,-0.10142857142857144,-0.08714285714285715,2.7075081120043323e-37,200,8.745251201773993e-35,loss
gsm8k,0.3,uninformative,1.0,race,race_d,0.9745238095238095,0.9723809523809525,0.0021428571428571425,0.0,0.006428571428571428,0.31731050786291415,200,1.0,tie
gsm8k,0.5,attractor,1.0,race,race_d,0.9766666666666666,0.975,0.0016666666666666668,0.0,0.005,0.31731050786291415,200,1.0,tie
gsm8k,0.5,camouflage,0.7,race,race_d,0.9423333333333335,0.9680000000000001,-0.025666666666666692,-0.033666666666666685,-0.01800000000000002,3.979598982892096e-11,200,1.197859293850521e-08,loss
gsm8k,0.5,camouflage,0.9,race,race_d,0.9436666666666668,0.9666666666666666,-0.023000000000000017,-0.029666666666666678,-0.01700000000000001,5.328748925550755e-11,200,1.5986246776652266e-08,loss
gsm8k,0.5,echo,1.0,race,race_d,0.9426666666666667,0.9693333333333334,-0.026666666666666675,-0.03566666666666667,-0.01866666666666668,1.810421540293568e-11,200,5.4674730516865754e-09,loss
gsm8k,0.5,gate_aware,0.0,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
gsm8k,0.5,gate_aware,0.25,race,race_d,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,1.0,200,1.0,tie
